name,precision,recall,mcc
FunctionalScoreBool,35.96491228070175,54.512635379061365,0.25957873170849793
HasCurrying,33.098591549295776,10.382916053019146,0.1067427465356111
HasFunctionCalls,33.54430379746836,34.920634920634924,0.11809021023464797
HasFunctionParameters,39.047619047619044,23.033707865168537,0.17445973731745326
HasFunctions,30.67729083665339,51.620029455081,0.1843698031472724
HasHigherOrderCalls,33.59683794466403,47.42268041237113,0.2202111140595229
HasInnerVariableAssignment,32.73542600896861,14.606741573033707,0.10988718789948784
HasLazyValues,33.55855855855856,10.9720176730486,0.11488526790627708
HasMultipleParameterLists,40.0,34.39153439153439,0.2656500830876325
HasNestedMethods,45.33333333333333,26.33333333333333,0.2105531102773332
HasOuterVariableAssignment,24.738867509620672,10.108303249097473,0.05506482959419895
HasOuterVariableUsage,47.61904761904761,11.666666666666664,0.12803868245959854
HasPatternMatching,30.4,40.21164021164021,0.15571100905739926
HasPointsBool,25.384615384615387,63.33333333333333,0.1468196094604026
HasSideEffectCalls,30.985915492957744,37.640449438202246,0.11265828461753898
HasSideEffectFunctions,40.63829787234041,19.642857142857142,0.07500980669680593
HasSideEffects,21.75066312997348,40.836012861736336,0.07429581189217516
HasVariableDefinitions,26.530612244897963,11.235955056179774,0.08713731088381209
HasVariables,36.36363636363637,20.90032154340836,0.12976091400447334
ImperativeScoreBool,21.928665785997357,39.54983922829581,0.0784054060380297
IsFunction,32.83582089552239,12.142857142857142,0.07022689970564265
IsNested,0.0,0.0,0.0
IsRecursive,36.36363636363637,10.666666666666668,0.062111134116463664
IsSideEffect,20.489038785834733,78.13504823151125,0.04545120722281696
ParadigmScoreBool,31.147540983606557,60.35714285714285,0.12857715376713647
