commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package util - object HttpClientUtil - method withHttpClient,1.0,0.0,20.0,19.0,0.0,0.0,13.0,4.0,0.0,0.0,0.3191489361702127
HEAD,0,package util - object HttpClientUtil - method isPrivateAddress,1.0,0.0,4.0,4.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0
HEAD,0,package util - object HttpClientUtil - method inIpRange,2.0,0.0,9.0,9.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0
HEAD,2,package api - object ApiPullRequest - method apply,4.0,3.0,28.0,28.0,1.0,0.034482758620689655,12.0,7.0,10.0,2.0,1.0
HEAD,0,package model - trait GpgKeyComponent - class GpgKeys - method *,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
HEAD,0,package model - trait GpgKeyComponent - class GpgKeys - method byPrimaryKey,1.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
HEAD,0,package model - trait GpgKeyComponent - class GpgKeys - method byGpgKeyId,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package plugin - object Sessions - method session,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package controller - trait IssuesControllerBase - method executeBatch,3.0,5.0,7.0,7.0,0.0,0.0,11.0,2.0,2.0,0.0,1.0
HEAD,0,package controller - trait IssuesControllerBase - method searchIssues,2.0,9.0,23.0,22.0,1.0,0.043478260869565216,23.0,6.0,6.0,2.0,1.0
HEAD,0,package controller - trait IssuesControllerBase - method isEditableContent,1.0,0.0,5.0,5.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0
HEAD,0,package util - object JGitUtil - <$anon: util.Using.Releasable[org.eclipse.jgit.lib.ObjectDatabase]> - method release,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package util - object JGitUtil - method getSignTarget,3.0,0.0,32.0,32.0,0.0,0.0,46.0,22.0,0.0,0.0,-0.7049180327868853
HEAD,0,package util - object JGitUtil - class CommitInfo - method isDifferentFromAuthor,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
HEAD,0,package util - object JGitUtil - method getRevCommitFromId,3.0,4.0,9.0,9.0,0.0,0.0,7.0,6.0,5.0,1.0,0.3333333333333333
HEAD,0,package util - object JGitUtil - method removeCache,2.0,0.0,9.0,9.0,0.0,0.0,7.0,6.0,0.0,0.0,-1.0
