commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package service - trait ActivityService - method deleteOldActivities,1.0,0.0,5.0,5.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0
HEAD,0,package service - trait ActivityService - method getActivitiesByUser,5.0,7.0,16.0,15.0,0.0,0.0,14.0,2.0,21.0,6.0,1.0
HEAD,0,package service - trait ActivityService - method getRecentActivities,4.0,4.0,9.0,9.0,0.0,0.0,11.0,2.0,21.0,6.0,1.0
HEAD,0,package service - trait ActivityService - method getRecentActivitiesByOwners,4.0,6.0,9.0,9.0,0.0,0.0,13.0,2.0,21.0,6.0,1.0
HEAD,0,package service - trait ActivityService - method recordCreateRepositoryActivity,1.0,0.0,12.0,12.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.3333333333333333
HEAD,0,package service - trait ActivityService - method recordCreateIssueActivity,1.0,0.0,16.0,16.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.3333333333333333
HEAD,0,package service - trait ActivityService - method recordCloseIssueActivity,1.0,0.0,16.0,16.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.3333333333333333
HEAD,0,package service - trait ActivityService - method recordClosePullRequestActivity,1.0,0.0,16.0,16.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.3333333333333333
HEAD,0,package service - trait ActivityService - method recordReopenIssueActivity,1.0,0.0,16.0,16.0,0.0,0.0,5.0,2.0,0.0,0.0,-0.3333333333333333
HEAD,1,package service - trait ActivityService - method recordCommentIssueActivity,1.0,0.0,16.0,16.0,0.0,0.0,6.0,2.0,0.0,0.0,-0.3333333333333333
HEAD,0,package service - trait ActivityService - method recordCommentPullRequestActivity,1.0,0.0,16.0,16.0,0.0,0.0,6.0,2.0,0.0,0.0,-0.3333333333333333
