name,count,percentage_faulty,percentage_total_faults
CommentDensity,7,32.467532467532465,55.78947368421052
CommentLinesOfCode,7,32.467532467532465,55.78947368421052
CouplingBetweenObjects,7,27.137546468401485,100.0
CyclomaticComplexity,7,26.739926739926737,100.0
DepthOfInheritance,7,18.88888888888889,59.740259740259745
DepthOfNesting,7,37.07317073170731,64.38356164383562
FanIn,7,27.137546468401485,81.98198198198196
FanOut,7,27.137546468401485,100.0
LackOfCohesionInMethods,7,16.216216216216218,69.1358024691358
LinesOfCode,7,26.739926739926737,100.0
NumberOfChildren,7,20.833333333333336,22.222222222222218
NumberOfPatternVariables,7,37.096774193548384,62.16216216216216
OutDegree,7,27.137546468401485,100.0
OutDegreeDistinct,7,27.137546468401485,100.0
PatternSize,7,37.07317073170731,64.38356164383562
ResponseForClass,7,26.739926739926737,100.0
SourceLinesOfCode,7,26.739926739926737,100.0
WeightedMethodCount,7,26.739926739926737,100.0
