name,count,precision,recall,mcc
CountCurrying,7,32.55813953488372,8.970588235294116,0.09058678541900472
CountFunctionCalls,7,32.3943661971831,15.714285714285715,0.17329851017480505
CountFunctionParameters,7,33.691756272401435,17.647058823529417,0.15181056534757986
CountFunctions,7,39.354838709677416,44.70588235294118,0.2966049496880556
CountHigherOrderCalls,7,37.5,37.24137931034483,0.2603686907612688
CountInnerVariableAssignment,7,29.72972972972973,11.428571428571427,0.08832574854399715
CountLazyValues,7,32.55813953488372,8.641975308641975,0.08949070620553927
CountNestedDepth,7,0.0,0.0,0.0
CountNestedMethods,7,32.608695652173914,25.882352941176478,0.13503844823307906
CountOuterVariableAssignment,7,16.965352449223413,31.470588235294123,0.01633777563387449
CountOuterVariableUsage,7,31.707317073170728,30.294117647058826,0.09652147136446776
CountParameterLists,7,33.72093023255814,28.57142857142857,0.20433074274590055
CountPatternMatching,7,33.61702127659574,48.76543209876543,0.2557277232321605
CountRecursiveCalls,7,36.52173913043478,6.1764705882352935,0.09114915667212677
CountSideEffectCalls,7,35.460992907801426,26.20689655172414,0.18669537598198035
CountSideEffectFunctions,7,36.0,11.111111111111109,0.08274391389818067
CountSideEffects,7,33.63636363636363,25.517241379310345,0.18394950097620066
CountVariableDefinitions,7,37.17472118959108,8.641975308641975,0.10480267404000383
CountVariables,7,37.11507293354943,15.862068965517242,0.1310956549310119
FunctionalScoreCount,7,37.57575757575757,45.83333333333333,0.31204307584840074
HasPointsCount,7,33.434343434343425,48.67647058823529,0.2752618329571713
ImperativeScoreCount,7,33.9622641509434,24.82758620689655,0.18335715008833767
IsFunction,7,28.08022922636103,16.666666666666664,0.12204608721094475
IsSideEffect,7,18.326693227091635,28.395061728395056,0.060598736391318075
ParadigmScoreCount,7,27.508090614886733,48.38235294117647,0.2722821669960022
