name,count,mean,std
CountCurrying,7,0.0074433656957928794,0.10309048125637348
CountFunctionCalls,7,0.044336569579288033,0.24744836661492906
CountFunctionParameters,7,0.07378640776699029,0.3163693657739875
CountFunctions,7,0.5493253373313344,1.420793810185761
CountHigherOrderCalls,7,0.3051779935275081,0.8082323060372061
CountInnerVariableAssignment,7,0.030097087378640777,0.2657782179637572
CountLazyValues,7,0.019038984587488667,0.21016468897961066
CountNestedDepth,7,0.02621359223300971,0.1618090300256432
CountNestedMethods,7,0.09279399946423787,0.5432524977074448
CountOuterVariableAssignment,7,0.019038984587488667,0.2209565112684206
CountOuterVariableUsage,7,0.058899676375404525,0.5223986403572571
CountParameterLists,7,0.21679160419790106,0.4730226612850149
CountPatternMatching,7,0.23778110944527736,0.7549952784546873
CountRecursiveCalls,7,0.011736382786638579,0.16063641827039685
CountSideEffectCalls,7,0.2482200647249191,0.9726954087276851
CountSideEffectFunctions,7,0.010679611650485437,0.12288689514439888
CountSideEffects,7,0.7352750809061489,1.9678094938301744
CountVariableDefinitions,7,0.02175883952855848,0.19982418575682998
CountVariables,7,0.16228467815049866,1.2691914536637363
FunctionalScoreCount,7,1.5943028485757125,3.1574409954121045
HasPointsCount,7,0.5831715210355987,0.4931137708792019
ImperativeScoreCount,7,1.4355987055016182,5.0240497730911775
IsFunction,7,0.013493253373313344,0.1153914123488031
IsSideEffect,7,0.05826228177019895,0.2342625214600121
ParadigmScoreCount,7,0.33769718887228434,0.6502482619557097
