name,rows,faulty_rows,non_faulty_rows,percentage_faulty
AkkaNeutral,13448,582,12866,4.327781082688876
AkkaOOP,4655,817,3838,17.551020408163264
AkkaFP,2370,542,1828,22.869198312236286
AkkaMix,2016,351,1665,17.410714285714285
GitbucketNeutral,1073,33,1040,3.075489282385834
GitbucketOOP,85,31,54,36.470588235294116
GitbucketFP,410,168,242,40.97560975609756
GitbucketMix,73,22,51,30.136986301369863
Http4sNeutral,1323,104,1219,7.860922146636433
Http4sOOP,84,35,49,41.66666666666667
Http4sFP,635,237,398,37.32283464566929
Http4sMix,90,21,69,23.333333333333332
QuillNeutral,717,68,649,9.483960948396094
QuillOOP,11,0,11,0.0
QuillFP,560,184,376,32.857142857142854
QuillMix,13,1,12,7.6923076923076925
ScioNeutral,1149,74,1075,6.440382941688425
ScioOOP,418,60,358,14.354066985645932
ScioFP,583,196,387,33.61921097770154
ScioMix,202,37,165,18.316831683168317
ShapelessNeutral,2753,123,2630,4.46785325099891
ShapelessOOP,33,5,28,15.151515151515152
ShapelessFP,1634,184,1450,11.260709914320685
ShapelessMix,72,18,54,25.0
ZIONeutral,1573,124,1449,7.8830260648442465
ZIOOOP,195,22,173,11.282051282051283
ZIOFP,1333,218,1115,16.35408852213053
ZIOMix,215,23,192,10.69767441860465
