name,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
CommentDensity,17.57712991834342,3.901249217882946,37.27492380258405,17.733061136344457,0.07953217863071378,0.03104541774336861
CommentLinesOfCode,17.694689688798036,5.3878573519935875,29.730321870421296,7.320422410722739,0.05429241193356673,0.10649945333093076
CyclomaticComplexity,21.32754992967696,9.134695726968339,46.89939486830625,8.096883139552315,0.15415254001082493,0.0689383991350016
DepthOfNesting,19.671762514924378,6.775478177136381,51.52802147584935,7.526998782954992,0.14399224421080917,0.046615960925887
LinesOfCode,23.57753378466776,9.010841262831995,46.337450159999605,5.297044928165058,0.18463922329537685,0.03823279848295609
NumberOfPatternVariables,24.256266772037986,11.761469316737873,42.869036080219644,4.626142683341131,0.18059769320328276,0.0864898228759662
OutDegree,24.346495225875163,10.773704658230628,49.993819402099746,5.6766798270721415,0.20393096441134875,0.07641015380575301
OutDegreeDistinct,21.29837099767221,10.733794751490585,49.867235825529235,13.8019869292111,0.16467959318991846,0.1204666061874646
PatternSize,22.097486697738304,7.926585198484396,42.8593745751127,5.446630026995327,0.15903309673005692,0.03459494180321508
SourceLinesOfCode,22.885886289364052,8.780368693138263,47.17996566795395,5.799508882801495,0.1793714272243823,0.04082807502638813
