name,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
CommentDensity,18.058235839951674,8.861677495178691,44.701053377538514,37.354334358532924,0.11137602996824898,0.08616427353161404
CommentLinesOfCode,18.477541632691192,9.461627697625856,34.35606250874862,33.16365571036752,0.11967776337960458,0.09174018370307838
CyclomaticComplexity,16.352312113573443,10.712025855564043,49.2945749276398,14.785353495750185,0.1290511170189315,0.12388866270375674
DepthOfNesting,15.639137560176152,10.40276002218403,46.64827229609881,15.325086705798721,0.11353972317262559,0.12163943975510663
LinesOfCode,19.632573005590167,12.781915347676708,49.082995693009615,12.3252889178889,0.17108805003726796,0.15703403371727306
NumberOfPatternVariables,19.57243570907219,18.56850443701769,41.8519842916889,19.69757175310837,0.13983004094659826,0.1833780618573388
OutDegree,20.975213204424296,16.644914409246606,48.97110809371743,16.29824725714531,0.17607728191472966,0.16965622835870342
OutDegreeDistinct,12.002715156058116,5.4893756214001135,39.82895963743971,13.62012680230235,0.05254745960523392,0.05159250844248632
PatternSize,18.355271512316282,14.860650062468702,42.30308064808117,21.38206082662368,0.13515292033035206,0.15613118999831918
SourceLinesOfCode,19.442322255263885,12.840800380623405,52.7016355660768,16.488606584959008,0.17605666482039908,0.14832700406334784
