name,count,mean,std
FunctionalCalls,7,0.4218070130534937,1.3909309338675553
FunctionalScoreLandkroon,7,0.5424396442185515,1.4611789715240062
HasPointsLandkroon,7,0.3580429586510788,0.4794287598596277
HigherOrder,7,0.08518877057115197,0.3082008901994468
ImperativeCalls,7,0.03888182973316391,0.2232234647713089
ImperativeScoreLandkroon,7,0.29936467598475225,1.7264000634364434
Nested,7,0.030074225748656255,0.17080251808878158
ParadigmScoreLandkroon,7,0.27497110586436674,0.4411865045557889
Recursive,7,0.02040617225736167,0.1413862985862452
SideEffects,7,0.23523717328170374,1.5769341560341636
