name,tn,fp,fn,tp,r2,precision,recall,mcc
baseline,713,104,46,45,-0.8319501795633986,30.201342281879196,49.45054945054945,0.2977370001991822
NumberOfLambdaFunctions,710,107,48,43,-0.8930151855488453,28.666666666666668,47.25274725274725,0.2761971281091346
SourceLinesOfLambda,711,106,48,43,-0.880802184351756,28.859060402684566,47.25274725274725,0.2779322167714061
LambdaScore,713,104,47,44,-0.8441631807604879,29.72972972972973,48.35164835164835,0.2896104316680986
LambdaFunctionsUsingOuterVariables,711,106,47,44,-0.8685891831546666,29.333333333333332,48.35164835164835,0.28607296461866816
LambdaFunctionsUsingInnerVariables,717,100,47,44,-0.7953111759721307,30.555555555555557,48.35164835164835,0.2968604144147011
LambdaFunctionsWithSideEffects,711,106,47,44,-0.8685891831546666,29.333333333333332,48.35164835164835,0.28607296461866816
LambdaFunctionsWithAssignment,717,100,47,44,-0.7953111759721307,30.555555555555557,48.35164835164835,0.2968604144147011
