commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package values - class SideSet,3.0,2.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package client - class BigQuery,32.0,16.0,48.0,0.0,7.0,100.0,59.0,40.0,0.40404040404040403,0.0,25.0,11.0,11.0,0.0,24.0,20.0,0.0,0.0,7.0,0.9047619047619049
HEAD,0,package client - object BigQuery,21.0,16.0,36.0,0.0,0.0,83.0,64.0,19.0,0.2289156626506024,0.0,18.0,0.0,4.0,0.0,12.0,11.0,0.0,0.0,2.0,2.0
HEAD,0,package client - object BigQuery - class Client,11.0,7.0,18.0,0.0,1.0,34.0,35.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package client - object BigQuery - class Client - <$anon: <error>>,4.0,0.0,4.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,-1.0
HEAD,3,package io - package dynamic - package object dynamic,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - object SoccoIndex,39.0,0.0,39.0,0.0,0.0,95.0,87.0,6.0,0.06451612903225806,0.0,60.0,0.0,11.0,6.0,95.0,72.0,6.0,1.0,5.0,3.7341772151898733
HEAD,0,package <empty> - object SoccoIndex - class Source,4.0,1.0,5.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package extra - package json - package object json,20.0,0.0,20.0,0.0,0.0,32.0,27.0,3.0,0.1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - package json - package object json - class DecodeError,3.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package extra - package json - package object json - class JsonScioContext,10.0,1.0,11.0,0.0,1.0,12.0,11.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,5.0,4.0,0.0,0.0,1.0,1.0
