commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package scio - object ContextAndArgs - trait ArgsParser,4.0,3.0,7.0,0.0,1.0,6.0,7.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class DefaultParser,16.0,1.0,17.0,2.0,1.0,7.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object TypedParser,2.0,2.0,3.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,2.0,6.0,2.0,1.0,1.0
HEAD,0,package scio - object ContextAndArgs - class TypedParser,36.0,2.0,38.0,1.0,1.0,47.0,44.0,3.0,0.06382978723404255,0.0,19.0,11.0,11.0,10.0,55.0,20.0,70.0,16.0,1.0,0.9310344827586207
HEAD,0,package scio - object ContextAndArgs - class UsageOrHelpException,3.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object UsageOrHelpException,12.0,3.0,13.0,1.0,0.0,17.0,18.0,0.0,0.0,0.0,7.0,0.0,3.0,5.0,6.0,6.0,4.0,0.0,1.0,-0.5185185185185185
HEAD,0,package scio - object ContextAndArgs - object UsageOrHelpException - method attachUncaughtExceptionHandler - <$anon: Thread.UncaughtExceptionHandler>,8.0,0.0,8.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,3.0,3.0,3.0,5.0,2.0,2.0,4.0,0.0,1.0,-0.42857142857142855
HEAD,0,package scio - trait ScioExecutionContext,3.0,3.0,6.0,0.0,5.0,27.0,16.0,12.0,0.42857142857142855,0.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ScioContext,36.0,176.0,210.0,0.0,0.0,103.0,87.0,12.0,0.12121212121212122,1.0,43.0,0.0,2.0,1.4444444444444444,9.11111111111111,4.777777777777778,1.4444444444444444,0.4444444444444444,0.2222222222222222,0.03000580076992036
HEAD,0,package scio - class ScioContext,99.0,176.0,270.0,1.0,13.0,392.0,281.0,109.0,0.2794871794871795,1.0,93.0,48.0,1.3714285714285714,0.3142857142857143,4.485714285714286,2.914285714285714,0.37142857142857144,0.05714285714285714,0.7142857142857143,0.27984882842025705
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext>,20.0,0.0,20.0,1.0,3.0,45.0,42.0,2.0,0.045454545454545456,0.0,13.0,9.0,2.25,0.5,5.5,3.75,1.75,0.25,0.5,-0.21739130434782608
HEAD,0,package scio - class ScioContext - method execute - <$anon: com.spotify.scio.ScioExecutionContext> - method waitUntilFinish - <$anon: com.spotify.scio.ScioResult>,10.0,0.0,10.0,1.0,2.0,15.0,15.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
HEAD,0,package scio - class DistCacheScioContext,16.0,1.0,17.0,0.0,1.0,46.0,18.0,26.0,0.5909090909090909,0.0,11.0,5.0,1.6666666666666667,0.0,4.666666666666667,4.666666666666667,0.0,0.0,0.6666666666666666,0.6666666666666666
