commit,faults,path,IsRecursiveAvr,IsNestedAvr,HasNestedMethodsAvr,HasFunctionsAvr,IsFunctionAvr,HasFunctionParametersAvr,HasHigherOrderCallsAvr,HasFunctionCallsAvr,HasCurryingAvr,HasPatternMatchingAvr,HasLazyValuesAvr,HasMultipleParameterListsAvr,FunctionalScoreBoolAvr,HasVariablesAvr,HasVariableDefinitionsAvr,HasInnerVariableAssignmentAvr,HasOuterVariableUsageAvr,HasOuterVariableAssignmentAvr,HasSideEffectsAvr,IsSideEffectAvr,HasSideEffectCallsAvr,HasSideEffectFunctionsAvr,ImperativeScoreBoolAvr,ParadigmScoreBoolAvr,CountRecursiveCallsAvr,CountNestedDepthAvr,CountNestedMethodsAvr,CountFunctionsAvr,CountFunctionParametersAvr,CountHigherOrderCallsAvr,CountFunctionCallsAvr,CountCurryingAvr,CountPatternMatchingAvr,CountLazyValuesAvr,CountParameterListsAvr,FunctionalScoreCountAvr,CountVariablesAvr,CountVariableDefinitionsAvr,CountInnerVariableAssignmentAvr,CountOuterVariableUsageAvr,CountOuterVariableAssignmentAvr,CountSideEffectsAvr,CountSideEffectCallsAvr,CountSideEffectFunctionsAvr,ImperativeScoreCountAvr,ParadigmScoreCountAvr,FractionRecursiveCallsAvr,FractionNestedMethodsAvr,FractionFunctionsAvr,FractionHigherOrderCallsAvr,FractionFunctionCallsAvr,FractionCurryingAvr,FractionPatternMatchingAvr,FractionLazyValuesAvr,FunctionalScoreFractionAvr,FractionVariablesAvr,FractionVariableDefinitionsAvr,FractionInnerVariableAssignmentAvr,FractionOuterVariableUsageAvr,FractionOuterVariableAssignmentAvr,FractionSideEffectsAvr,FractionSideEffectCallsAvr,FractionSideEffectFunctionsAvr,ImperativeScoreFractionAvr,ParadigmScoreFractionAvr,FunctionalCallsLandkroonAvr,ImperativeCallsLandkroonAvr,FunctionalPointsLandkroonAvr,ImperativePointsLandkroonAvr,ParadigmScoreLandkroonAvr,IsRecursiveSum,IsNestedSum,HasNestedMethodsSum,HasFunctionsSum,IsFunctionSum,HasFunctionParametersSum,HasHigherOrderCallsSum,HasFunctionCallsSum,HasCurryingSum,HasPatternMatchingSum,HasLazyValuesSum,HasMultipleParameterListsSum,FunctionalScoreBoolSum,HasVariablesSum,HasVariableDefinitionsSum,HasInnerVariableAssignmentSum,HasOuterVariableUsageSum,HasOuterVariableAssignmentSum,HasSideEffectsSum,IsSideEffectSum,HasSideEffectCallsSum,HasSideEffectFunctionsSum,ImperativeScoreBoolSum,ParadigmScoreBoolSum,CountRecursiveCallsSum,CountNestedDepthSum,CountNestedMethodsSum,CountFunctionsSum,CountFunctionParametersSum,CountHigherOrderCallsSum,CountFunctionCallsSum,CountCurryingSum,CountPatternMatchingSum,CountLazyValuesSum,CountParameterListsSum,FunctionalScoreCountSum,CountVariablesSum,CountVariableDefinitionsSum,CountInnerVariableAssignmentSum,CountOuterVariableUsageSum,CountOuterVariableAssignmentSum,CountSideEffectsSum,CountSideEffectCallsSum,CountSideEffectFunctionsSum,ImperativeScoreCountSum,ParadigmScoreCountSum,FractionRecursiveCallsSum,FractionNestedMethodsSum,FractionFunctionsSum,FractionHigherOrderCallsSum,FractionFunctionCallsSum,FractionCurryingSum,FractionPatternMatchingSum,FractionLazyValuesSum,FunctionalScoreFractionSum,FractionVariablesSum,FractionVariableDefinitionsSum,FractionInnerVariableAssignmentSum,FractionOuterVariableUsageSum,FractionOuterVariableAssignmentSum,FractionSideEffectsSum,FractionSideEffectCallsSum,FractionSideEffectFunctionsSum,ImperativeScoreFractionSum,ParadigmScoreFractionSum,FunctionalCallsLandkroonSum,ImperativeCallsLandkroonSum,FunctionalPointsLandkroonSum,ImperativePointsLandkroonSum,ParadigmScoreLandkroonSum,IsRecursiveMax,IsNestedMax,HasNestedMethodsMax,HasFunctionsMax,IsFunctionMax,HasFunctionParametersMax,HasHigherOrderCallsMax,HasFunctionCallsMax,HasCurryingMax,HasPatternMatchingMax,HasLazyValuesMax,HasMultipleParameterListsMax,FunctionalScoreBoolMax,HasVariablesMax,HasVariableDefinitionsMax,HasInnerVariableAssignmentMax,HasOuterVariableUsageMax,HasOuterVariableAssignmentMax,HasSideEffectsMax,IsSideEffectMax,HasSideEffectCallsMax,HasSideEffectFunctionsMax,ImperativeScoreBoolMax,ParadigmScoreBoolMax,CountRecursiveCallsMax,CountNestedDepthMax,CountNestedMethodsMax,CountFunctionsMax,CountFunctionParametersMax,CountHigherOrderCallsMax,CountFunctionCallsMax,CountCurryingMax,CountPatternMatchingMax,CountLazyValuesMax,CountParameterListsMax,FunctionalScoreCountMax,CountVariablesMax,CountVariableDefinitionsMax,CountInnerVariableAssignmentMax,CountOuterVariableUsageMax,CountOuterVariableAssignmentMax,CountSideEffectsMax,CountSideEffectCallsMax,CountSideEffectFunctionsMax,ImperativeScoreCountMax,ParadigmScoreCountMax,FractionRecursiveCallsMax,FractionNestedMethodsMax,FractionFunctionsMax,FractionHigherOrderCallsMax,FractionFunctionCallsMax,FractionCurryingMax,FractionPatternMatchingMax,FractionLazyValuesMax,FunctionalScoreFractionMax,FractionVariablesMax,FractionVariableDefinitionsMax,FractionInnerVariableAssignmentMax,FractionOuterVariableUsageMax,FractionOuterVariableAssignmentMax,FractionSideEffectsMax,FractionSideEffectCallsMax,FractionSideEffectFunctionsMax,ImperativeScoreFractionMax,ParadigmScoreFractionMax,FunctionalCallsLandkroonMax,ImperativeCallsLandkroonMax,FunctionalPointsLandkroonMax,ImperativePointsLandkroonMax,ParadigmScoreLandkroonMax
HEAD,0,package spark - object SparkDialectRecursor,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12698412698412698,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,1.4603174603174602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.5,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.25396825396825395,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,2.9206349206349205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14285714285714285,0.2222222222222222,0.2222222222222222,0.0,0.0,0.2222222222222222,0.0,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,1.0
HEAD,0,package spark - object SparkDialectRecursor - method runSuperAstParser - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor - method runCaseClassWithMultipleSelect - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package spark - trait SparkIdiom,0.0,0.0,0.23076923076923078,0.5384615384615384,0.0,0.0,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.6153846153846154,0.0,0.15384615384615385,2.1538461538461537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.0,0.23076923076923078,0.5384615384615384,0.0,0.46153846153846156,0.07692307692307693,0.07692307692307693,0.7692307692307693,0.0,0.15384615384615385,2.3076923076923075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.0,0.06024744486282948,0.40194420963651734,0.39644970414201186,0.005494505494505494,0.005494505494505494,0.5433643279797126,0.0,1.566840851456236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.7692307692307693,0.0,0.7692307692307693,0.0,0.6153846153846154,0.0,0.0,3.0,7.0,0.0,0.0,6.0,1.0,1.0,8.0,0.0,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,7.0,0.0,6.0,1.0,1.0,10.0,0.0,2.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.7832167832167832,5.225274725274725,5.153846153846154,0.07142857142857142,0.07142857142857142,7.0637362637362635,0.0,20.36893106893107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,10.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6153846153846154,1.0,1.0,0.07142857142857142,0.07142857142857142,1.0,0.0,3.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
HEAD,0,package spark - trait SparkIdiom - method sqlQueryTokenizer - <$anon: io.getquill.context.spark.SparkIdiom>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method valueTokenizer - <$anon: io.getquill.context.spark.SparkIdiom>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,0.038461538461538464,0.0,0.15384615384615385,0.2692307692307692,0.0,0.038461538461538464,0.2692307692307692,0.038461538461538464,0.0,0.19230769230769232,0.0,0.11538461538461539,1.1153846153846154,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.07692307692307693,0.07692307692307693,0.0,0.2692307692307692,0.3384615384615385,0.07692307692307693,0.0,0.19230769230769232,0.5769230769230769,0.07692307692307693,0.4230769230769231,0.038461538461538464,0.0,0.2692307692307692,0.0,0.11538461538461539,1.7692307692307692,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.23076923076923078,0.0,1.0,0.29700854700854695,0.010989010989010988,0.05764235764235765,0.1265621633268692,0.12407347554406377,0.0038461538461538464,0.0,0.11630036630036628,0.0,0.5932596814949755,0.0,0.0,0.0,0.0,0.0,0.10489510489510491,0.011488511488511488,0.0,0.1933066933066933,0.32071342597658387,0.5384615384615384,0.0,0.6538461538461539,0.0,0.38461538461538464,1.0,0.0,4.0,7.0,0.0,1.0,7.0,1.0,0.0,5.0,0.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,7.0,8.8,2.0,0.0,5.0,15.0,2.0,11.0,1.0,0.0,7.0,0.0,3.0,46.0,0.0,0.0,0.0,0.0,0.0,18.0,6.0,0.0,26.0,7.722222222222221,0.2857142857142857,1.4987012987012989,3.2906162464985993,3.225910364145658,0.1,0.0,3.0238095238095233,0.0,15.424751718869365,0.0,0.0,0.0,0.0,0.0,2.7272727272727275,0.2987012987012987,0.0,5.025974025974026,8.33854907539118,14.0,0.0,17.0,0.0,10.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,5.0,2.0,3.0,1.0,0.0,3.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0,16.0,1.0,0.2857142857142857,0.7142857142857143,0.6666666666666666,0.8235294117647058,0.1,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22727272727272727,0.0,2.071428571428571,1.0,5.0,0.0,5.0,0.0,1.0
HEAD,1,package quotation - trait Parsing - class Parser,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0,0.42857142857142855,0.0,0.6428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.8571428571428571,0.0,1.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - trait QuillSparkContext,0.0,0.0,0.125,0.625,0.125,0.375,0.25,0.125,0.0,0.25,0.0,0.5,2.375,0.125,0.125,0.125,0.0,0.0,0.375,0.125,0.125,0.0,1.0,0.26136363636363635,0.0,0.0,0.125,2.125,0.625,0.25,0.125,0.0,0.375,0.0,0.5,4.25,0.375,0.125,0.125,0.0,0.0,0.5,0.125,0.0,1.375,0.25833333333333336,0.0,0.09375,0.33303571428571427,0.08660714285714287,0.008928571428571428,0.0,0.16785714285714287,0.0,1.6901785714285713,0.017857142857142856,0.008928571428571428,0.008928571428571428,0.0,0.0,0.25892857142857145,0.008928571428571428,0.0,0.42857142857142855,0.35119047619047616,0.625,0.0,1.25,0.375,0.4464285714285714,0.0,0.0,1.0,5.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,4.0,19.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,8.0,2.090909090909091,0.0,0.0,1.0,17.0,5.0,2.0,1.0,0.0,3.0,0.0,4.0,34.0,3.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,11.0,2.066666666666667,0.0,0.75,2.664285714285714,0.692857142857143,0.07142857142857142,0.0,1.342857142857143,0.0,13.52142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,2.0714285714285716,0.07142857142857142,0.0,3.4285714285714284,2.8095238095238093,5.0,0.0,10.0,3.0,3.571428571428571,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,9.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,0.75,1.0,0.6428571428571429,0.07142857142857142,0.0,0.7,0.0,4.071428571428571,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0,0.0,1.0,0.07142857142857142,0.0,2.0,1.0,3.0,0.0,4.0,3.0,1.0
