name,count,precision mean,precision std,recall mean,recall std,mcc mean,mcc std
FunctionVariables,7,63.085247391494974,12.814226367668047,69.6722199180274,7.514262788280251,0.4867652648035685,0.06851338117605751
FunctionVariables baseline,7,62.94299630930964,13.7425962463695,67.95245667297775,9.150307881049775,0.47836446183249753,0.08850354367254665
ImplicitConversions,7,63.54839074303053,18.85560064116738,67.89314309601086,10.355571146744865,0.47151146874733635,0.15963088542106957
ImplicitConversions baseline,7,63.993779515877,19.064790674788714,69.02421922729044,10.95192880614323,0.4833948417226018,0.1637923192321189
ImplicitDefinitions,7,61.03228766832467,13.591615152919713,69.12805830579065,6.854857840304875,0.4549505433943963,0.06750198977831479
ImplicitDefinitions baseline,7,61.74065886937088,14.767774024650894,68.82840447433942,7.737095853247161,0.4640058573001757,0.09594577155957461
ImplicitParameters,7,66.51454108850191,13.594057388766256,69.32602190451787,7.806813882595231,0.47024101549231523,0.09469135764644683
ImplicitParameters baseline,7,66.43224609862577,12.383644944609077,69.56333674907998,7.937196076405572,0.46924891041778105,0.08686181202023618
OverridingPatternVariables,7,70.15851932209749,13.291597628333268,74.11771449089416,10.66261539261842,0.44068776314696595,0.12973758890243683
OverridingPatternVariables baseline,7,68.8204974106272,13.736914541934397,72.04804962841497,10.666157072261676,0.4077785342899628,0.14176575683659784
UnitVariables,2,74.23780487804878,18.755576208301715,81.14548494983276,0.5321037651069449,0.6563366140674296,0.1488107420964809
UnitVariables baseline,2,70.98880597014926,23.350354527988603,80.05852842809364,1.0050848896464275,0.6147638812240008,0.20760346470857127
UsageOfNull,7,65.4867329550307,11.953958490650002,73.73708542845772,7.3341288618435865,0.4484306196560127,0.1402512717776303
UsageOfNull baseline,7,67.55575775243153,11.772799029950981,73.81890759584681,9.008571483433906,0.47600982884296744,0.13040807975471133
