commit,faults,path,CountRecursiveCalls,CountNestedDepth,CountNestedMethods,CountFunctions,IsFunction,CountFunctionParameters,CountHigherOrderCalls,CountFunctionCalls,CountCurrying,CountPatternMatching,CountLazyValues,CountParameterLists,FunctionalScoreCount,CountVariables,CountVariableDefinitions,CountInnerVariableAssignment,CountOuterVariableUsage,CountOuterVariableAssignment,CountSideEffects,IsSideEffect,CountSideEffectCalls,CountSideEffectFunctions,ImperativeScoreCount,HasPointsCount,ParadigmScoreCount
HEAD,0,package controller - trait AccountManagementControllerBase - method uniqueMailAddress - <$anon: <error>>,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package controller - trait AccountManagementControllerBase - method uniqueExtraMailAddress - <$anon: <error>>,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package controller - trait AccountManagementControllerBase - method reservedNames - <$anon: <error>>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package service - trait RepositoryCommitFileService,0.0,0.0,0.0,4.0,0.0,0.5,3.0,0.25,0.0,0.5,0.0,1.5,9.75,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.25,0.5,8.75,1.0,0.47455357142857146
HEAD,1,package servlet - class GitAuthenticationFilter,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.8333333333333334,1.0,0.16666666666666666,5.166666666666667,1.0,-0.46583850931677023
HEAD,0,package servlet - class GitAuthenticationFilter - method doFilter - <$anon: <error>>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,-1.0
HEAD,1,package servlet - class GitRepositoryServlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,1.0,0.3333333333333333,0.0,5.666666666666667,1.0,-0.8181818181818182
HEAD,1,package servlet - class GitBucketRepositoryResolver,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package servlet - class GitBucketReceivePackFactory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,-1.0
HEAD,0,package servlet - class CommitLogHook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,3.0,1.0,-0.33333333333333337
HEAD,0,package servlet - class WikiCommitHook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.42857142857142855
HEAD,0,package util - object Keys - object Session,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package util - object Keys - object Request,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package view - object Markdown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25
HEAD,1,package view - object Markdown - class GitBucketMarkedRenderer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.4444444444444444,0.7777777777777778,0.1111111111111111,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,1.6666666666666667,0.3333333333333333,0.1111111111111111
HEAD,0,package servlet - class GitRepositoryServlet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,1.0,0.3333333333333333,0.0,5.666666666666667,1.0,-0.8181818181818182
HEAD,0,package servlet - class GitBucketRepositoryResolver,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package servlet - class GitBucketReceivePackFactory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,1.0,-1.0
HEAD,1,package servlet - class CommitLogHook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,1.0,1.0,0.5,0.0,3.0,1.0,-0.33333333333333337
HEAD,0,package servlet - class WikiCommitHook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.42857142857142855
HEAD,1,package service - trait PullRequestService,0.0,0.0,0.0,0.8,0.0,0.0,0.8,0.0,0.0,1.8666666666666667,0.0,0.8,4.266666666666667,0.6666666666666666,0.06666666666666667,0.26666666666666666,0.0,0.0,1.0666666666666667,0.3333333333333333,0.4666666666666667,0.06666666666666667,2.933333333333333,0.9333333333333333,0.5491228070175438
HEAD,1,package api - trait ApiPullRequestControllerBase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package controller - trait IssuesControllerBase,0.0,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
