name,count,percentage_faulty mean,percentage_faulty std,percentage_total_faults mean,percentage_total_faults std
FunctionalCalls,7,14.232996354501594,3.7731811401711015,40.375669196579786,7.546260416742365
FunctionalScoreLandkroon,7,13.250247002818657,3.2407948649316594,53.143637629135114,11.560873138050392
HasPointsLandkroon,7,12.773058415461191,3.094835840280563,57.800543081940155,9.53524098105787
HigherOrder,7,12.277458921658534,4.410239768394552,20.235116862574255,19.709402815902912
ImperativeCalls,7,13.556339526768715,6.735569945491635,5.214755520884871,4.112791873072112
ImperativeScoreLandkroon,7,13.991628930887243,4.747468635142203,11.147805053919512,10.35990544588491
Nested,7,9.646457099198745,5.417917156600345,2.7082555036406797,1.413756635893185
ParadigmScoreLandkroon,7,13.250247002818657,3.2407948649316594,53.143637629135114,11.560873138050392
Recursive,7,8.026873802984921,5.616972329347795,1.6213436525790588,1.2015622915414246
SideEffects,7,16.90385846525174,9.640066799728828,8.094760763787715,9.495523475658025
