name,count,precision,recall,mcc
FunctionalScoreBool,7,32.81471004243281,70.83333333333334,0.2568200524025725
HasCurrying,7,46.774193548387096,10.526315789473683,0.12309124295786875
HasFunctionCalls,7,36.55913978494624,21.052631578947366,0.1580394734709443
HasFunctionParameters,7,43.85964912280701,22.75280898876405,0.1899872905035632
HasFunctions,7,31.797919762258537,66.57303370786515,0.2636372789143092
HasHigherOrderCalls,7,34.72727272727273,58.98876404494382,0.2791700086796257
HasInnerVariableAssignment,7,40.0,10.437881873727088,0.11439341575849506
HasLazyValues,7,45.45454545454545,10.835913312693501,0.14160681359365332
HasMultipleParameterLists,7,39.42414174972315,38.86255924170617,0.2983270009816799
HasNestedMethods,7,51.0989010989011,31.596091205211724,0.2842740030313077
HasOuterVariableAssignment,7,26.491732566498925,11.764705882352938,0.08990703430076
HasOuterVariableUsage,7,54.54545454545454,11.145510835913312,0.12825667116981915
HasPatternMatching,7,34.929577464788736,57.86516853932585,0.2742651577302393
HasPointsBool,7,24.35577722360765,87.67772511848341,0.2162202587067999
HasSideEffectCalls,7,32.0,33.42696629213483,0.15859601623704214
HasSideEffectFunctions,7,50.98039215686275,22.56944444444445,0.14390343506053993
HasSideEffects,7,34.78260869565217,53.819444444444436,0.2152235070010015
HasVariableDefinitions,7,44.444444444444436,10.964912280701752,0.11779699038459696
HasVariables,7,36.36363636363637,18.859649122807017,0.1598636106270276
ImperativeScoreBool,7,35.135135135135144,50.0,0.19483664697153266
IsFunction,7,34.78260869565217,13.541666666666664,0.1029361349872059
IsNested,7,0.0,0.0,0.0
IsRecursive,7,40.0,7.942973523421588,0.0709992938054648
IsSideEffect,7,18.65314712071934,49.64358452138492,0.07377353328435175
ParadigmScoreBool,7,32.50883392226148,67.80185758513932,0.22091772795937145
