name,count,mean,std
FractionCurrying,7,0.0014111030461247038,0.023484696385825926
FractionFunctionCalls,7,0.015334433764206968,0.09590597518057603
FractionFunctions,7,0.11088680872295067,0.2299418293628076
FractionHigherOrderCalls,7,0.07108543422362752,0.1543501459644192
FractionInnerVariableAssignment,7,0.002362353659805819,0.01679863223058729
FractionLazyValues,7,0.002768615827732805,0.027969783874158397
FractionNestedMethods,7,0.0265504561861054,0.11287264207008572
FractionOuterVariableAssignment,7,0.0029231906740717797,0.02779794724446601
FractionOuterVariableUsage,7,0.006160197128848486,0.04646530736556097
FractionPatternMatching,7,0.08231058188885625,0.1972140084077731
FractionRecursiveCalls,7,0.0009500864048972303,0.009041778531890391
FractionSideEffectCalls,7,0.0303554089743382,0.08646758456297653
FractionSideEffectFunctions,7,0.0027309896115670536,0.034983829946087036
FractionSideEffects,7,0.1381687245112117,0.24392354453491916
FractionVariableDefinitions,7,0.0008938228251370453,0.008408588601487972
FractionVariables,7,0.010505282668620148,0.057164094144333474
FunctionalScoreFraction,7,0.5307560598534421,0.7335280523500218
HasFunctionParameters,7,0.051543338311878455,0.19951712852417375
HasMultipleParameterLists,7,0.08671493775426348,0.24401482449701165
HasPointsFraction,7,0.5005649946558826,0.4279568115184636
ImperativeScoreFraction,7,0.3845870648304981,0.7351983128082893
IsFunction,7,0.013032186306952971,0.09924834222360143
IsNested,7,0.0,0.0
IsSideEffect,7,0.08874663294510306,0.2257525699127893
ParadigmScoreFraction,7,0.2861220741251958,0.5240443022840041
